scientificname
?Agastoschizomus n.sp.
Lampropeltis triangulum amaura
Lampropeltis triangulum celaenops
Lampropeltis triangulum elapsoides
Lampropeltis triangulum multistriata
Lampropeltis triangulum syspila
Lampropeltis triangulum taylori
Lampropeltis triangulum triangulum
Lampropeltis triangulum triangulum x L. t. elapsoides
Lampropeltis zonata
Lampsilis abrupta
Lampsilis altilis
Lampsilis australis
Lampsilis bracteata
Lampsilis cardium
Lampsilis cariosa
Lampsilis fasciola
Lampsilis fullerkati
Lampsilis higginsii
Lampsilis hydiana
Lampsilis ornata
Lampsilis ovata
Lampsilis perovalis
Lampsilis powellii
Lampsilis radiata
Lampsilis radiata conspicua
Lampsilis radiata radiata
Lampsilis rafinesqueana
Lampsilis reeveiana
Lampsilis reeveiana brittsi
Lampsilis satura
Lampsilis siliquoidea
Lampsilis sp_A
Lampsilis sp_B
Lampsilis splendida
Lampsilis straminea claibornensis
Lampsilis straminea straminea
Lampsilis streckeri
Lampsilis subangulata
Lampsilis teres
Lampsilis teres anodontoides
Lampsilis teres teres
Lampsilis virescens
Lanius excubitor
Lanius ludovicianus
Lanius ludovicianus anthonyi
Lanius ludovicianus excubitorides
Lanius ludovicianus mearnsi
Lanius ludovicianus migrans
Lanthus parvulus
Lanthus vernalis
Lanx alta
Lanx klamathensis
Lanx patelloides
Lanx sp. [undescribed]
Lanx subrotunda
Larca laceyi
Larimus fasciatus
Larus argentatus
Larus atricilla
Larus californicus
Larus delawarensis
Larus hyperboreus
Larus marinus
Larus minutus
Larus philadelphia
Larus pipixcan
Larus ridibundus
Larus schistisagus
Larus thayeri
Lasiodiamesa sp. or spp.
Lasioglossum channelense
Lasionycta taigata
Lasionycteris noctivagans
Lasiurus blossevillii
Lasiurus borealis
Lasiurus cinereus
Lasiurus cinereus semotus
Lasiurus ega
Lasiurus intermedius
Lasiurus seminolus
Lasiurus xanthinus
Lasmigona complanata
Lasmigona complanata alabamensis
Lasmigona complanata complanata
Lasmigona compressa
Lasmigona costata
Lasmigona decorata
Lasmigona holstonia
Lasmigona subviridis
Laterallus jamaicensis
Laterallus jamaicensis coturniculus
Lathyrus maritimus
Lathyrus ochroleucus
Lathyrus palustris
Lathyrus pusillus
Latreutes fucorum
Latreutes parvulus
Laurencia crustiformans
Laurencia mcdermidae
Lavinia exilicauda chi
Lavinia exilicauda exilicauda
Lavinia exilicauda harengus
Lavinia symmetricus mitrulus
Lavinia symmetricus navarroensis
Lavinia symmetricus parvipinnis
Lavinia symmetricus ssp. 1
Lavinia symmetricus ssp. 2
Lavinia symmetricus ssp. 3
Lavinia symmetricus ssp. 4
Lavinia symmetricus subditus
Leander tenuicornis
Learchis poica
Leavenworthia exigua var. exigua
Lechea mucronata
Lechea racemulosa
Lechea stricta
Lechea tenuifolia
Lecidea lurida
Lednia tumana
Leiopathes glaberrima
Leiophyllum buxifolium
Leiostomus xanthurus
Leitneria floridana
Leitoscoloplos fragilis
Leitoscoloplos robustus
Lejeunea blomquistii
Lembos hypacanthus
Lemiox rimosus
Lemmeria digitalis
Lemmiscus curtatus
Lemmus trimucronatus
Lemmus trimucronatus harroldi
Lemmus trimucronatus nigripes
Lemna gibba
Lemna minuta
Lemna obscura
Lemna trisulca
Lemna turionifera
Lentipes concolor
Leodia sexiesperforata
Leopardus pardalis
Lepas anatifera
Lepidactylus dytiscus
Lepidametria commensalis
Lepidammodytes macrophthalmus
Lepidasthenia varia
Lepidium arbuscula
Lepidium davisii
Lepidium oblongum
Lepidochelys kempi
Lepidochelys kempii
Lepidochelys olivacea
Lepidomeda albivallis
Lepidomeda copei
Lepidomeda mollispinis mollispinis
Lepidomeda mollispinis pratensis
Lepidomeda vittata
Lepidonotus sublevis
Lepidonotus variabilis
Lepidopa websteri
Lepidoptera
Lepidostoma costale
Lepidostoma ermanae
Lepidostoma griseum
Lepidostoma libum
Lepidostoma morsei
Lepidostoma prominens
Lepidostoma vernale
Lepidurus lemmoni
Lepidurus packardi
Lepipolys perscripta
Lepisosteus oculatus
Lepisosteus osseus
Lepisosteus platostomus
Lepisosteus platyrhincus
Lepomis auritus
Lepomis gibbosus
Lepomis gulosus
Lepomis humilis
Lepomis marginatus
Lepomis megalotis
Lepomis miniatus
Lepomis punctatus
Lepomis symmetricus
Leptalpheus forceps
Leptastrea bewickensis
Leptastrea bottae
Leptastrea pruinosa
Leptastrea purpurea
Leptastrea transversa
Leptobasis melinogaster
Leptocereus grantianus
Leptochela serratorbita
Leptocottus armatus
Leptodactylus albilabris
Leptodea fragilis
Leptodea leptodon
Leptodea ochracea
Leptodictyum humile
Leptogorgia virgulata
Leptolucania ommata
Lepton sp. A
Leptonycteris curasoae yerbabuenae
Leptonycteris nivalis
Leptophlebia bradleyi
Leptophlebia johnsoni
Leptophlebia konza
Leptoseris cucullata
Leptoseris foliosa
Leptoseris hawaiiensis
Leptoseris incrustans
Leptoseris myctoseroides
Leptoseris papyracea
Leptoseris scabra
Leptoseris tubulifera
Leptosynapta tenuis
Leptothorax bestelmeyeri
Leptothorax colleenae
Leptothorax n. sp.
Leptotyphlops dissectus
Leptotyphlops dulcis
Leptotyphlops humilis
Leptotyphlops humilis utahensis
Leptoxis ampla
Leptoxis arkansensis
Leptoxis crassa
Leptoxis crassa anthonyi
Leptoxis dilatata
Leptoxis foremani
Leptoxis picta
Leptoxis plicata
Leptoxis praerosa
Leptoxis taeniata
Leptoxis umbilicata
Leptoxis virgata
Leptoypha ilicis
Lepturus repens
Leptysma marginicollis
Lepus americanus
Lepus americanus bairdii
Lepus americanus klamathensis
Lepus americanus tahoensis
Lepus californicus
Lepus californicus bennettii
Lepus callotis gaillardi
Lepus othus
Lepus othus othus
Lepus othus poadromus
Lepus townsendii
Lepus townsendii campanius
Lepyrium showalteri
Lepyronia angulifera
Lepyronia gibbosa
Leskea obscura
Leskea polycarpa
Lesmone detrahens
Lespedeza hirta
Lespedeza violacea
Lesquerella montana
Lestes congener
Lestes disjunctus
Lestes disjunctus australis
Lestes dryas
Lestes eurinus
Lestes forcipatus
Lestes inaequalis
Lestes unguiculatus
Lestes vidua
Lestes vigilax
Lethe appalachia
Lethe creola
Lethocerus griseus
Lethrinidae
Leucania extincta
Leucania inermis
Leucodon brachypus
Leucohya texana
Leucohya texana (Muchmore)
Leucon americanus
Leucopoa kingii
Leucoraja erinacea
Leucoraja garmani virginica
Leucoraja ocellata
Leucorrhinia borealis
Leucorrhinia frigida
Leucorrhinia glacialis
Leucorrhinia hudsonica
Leucorrhinia intacta
Leucorrhinia patricia
Leucorrhinia proxima
Leucosolenia canariensis
Leucospora multifida
Leucosticte atrata
Leucosticte australis
Leucosticte tephrocotis
Leucothoe spinicarpa
Leucotrichia pictipes
Leucrocuta maculipennis
Leucrocuta petersi
Leucrocuta thetis
Leuctra ferruginea
Leuctra mitchellensis
Leuctra moha
Leuctra monticola
Leuctra paleo
Leuronotina ritensis
Levicaris mammilata
Lexingtonia dolabelloides
Lexingtonia subplana
Liagoceradocus lonomaka
Liagora perennis
Liatris ligulistylis
Liatris punctata var. punctata
Liatris pycnostachya
Liatris scariosa var. nieuwlandii
Liatris spicata
Liatris squarrosa var. hirsuta
Liatris tenuifolia var. quadriflora
Libellula auripennis
Libellula axilena
Libellula composita
Libellula cyanea
Libellula flavida
Libellula incesta
Libellula jesseana
Libellula julia
Libellula needhami
Libellula nodisticta
Libellula quadrimaculata
Libellula semifasciata
Libellula vibrans
Libinia dubia
Libinia emarginata
Libinia spp.
Libytheana carinenta
Liceolus n. sp.
Liceolus smithii
Lichnanthe albipilosa
Lichnanthe ursina
Ligia hawaiensis
Ligidium elrodii hancockensis
Ligidium elrodii leensis
Ligidium elrodii scottensis
Ligumia nasuta
Ligumia recta
Ligumia subrostrata
Liguus fasciatus matecumbensis
Lilium michiganense
Lilium occidentale
Lilium philadelphicum
Lilium philadelphicum var. andinum
Lilium superbum
Lima pellucida
Lima scabra scabra
Limenitis archippus obsoleta
Limnadia lenticularis
Limnanthes floccosa ssp. grandiflora
Limnanthes floccosa ssp. pumila
Limnebius aridus
Limnebius texanus
Limnephilus atercus
Limnephilus janus
Limnephilus parvulus
Limnephilus perpusillus
Limnephilus sericeus
Limnephilus sp.
Limnobium spongia ssp. spongia
Limnocalanus macrurus
Limnodromus griseus
Limnodromus griseus caurinus
Limnodromus scolopaceus
Limnoporus dissortis
Limnosciadium pinnatum
Limnothlypis swainsonii
Limosa fedoa
Limosa fedoa beringiae
Limosa haemastica
Limosa lapponica
Limosa lapponica baueri
Limosa limosa
Limosella aquatica
Limotettix elegans
Limotettix minuendus
Limotettix nigrax
Limotettix parallelus
Limotettix pseudospagneticus
Limotettix pseudosphagneticus
Limotettix truncatus
Limprichtia cossonii
Limprichtia revolvens
Limulus polyphemus
Lindera melissifolia
Lindera subcoriacea
Linderiella occidentalis
Linderiella santarosae
Lindernia saxicola
Lineus bicolor
Lineus socialis
Lineus sp. A
Lingula reevii
Linisa texasiana
Linopherus ambigua
Linophryne escaramosa
Linsleyonides albomaculatus
Linum berlandieri
Linum lewisii
Linum sulcatum var. harperi
Linvillea agassizi
Liocranoides sp.
Liodessus cantralli
Liodessus flavicollis
Liomera supernodosa
Lioplax cyclostomaformis
Lioplax subcarinata
Lioplax sulculosa
Lioporeus triangularis
Liopropoma aurora
Liopropoma eukrines
Liopropoma rubre
Liparis liliifolia
Liparis loeselii
Lipinia noctua
Lipocarpha aristulata
Lipocarpha drummondii
Lipochaeta lobata subsp. leptophylla
Lipochaeta spp.
Lirceus bicuspidatus
Lirceus bidentatus
Lirceus culveri
Lirceus lineatus
Lirceus megapodus
Lirceus usdagalun
Lissobiops serpentines
Lissodendoryx isodictyalis
Lissodiadema purpureum
Listera auriculata
Listera australis
Listriella barnardi
Listriella clymenellae
Lithasia armigera
Lithasia curta
Lithasia duttoniana
Lithasia geniculata fuliginosa
Lithasia geniculata pinguis
Lithasia jayana
Lithasia lima
Lithasia obovata
Lithasia salebrosa
Lithasia verrucosa
Lithobates areolatus circulosus
Lithobates pipiens
Lithobates sylvaticus
Lithobimorpha
Lithomoia solidaginis germana
Lithophaga bisulcata
Lithophane baileyi
Lithophane franclemonti
Lithophane l. lepida
Lithophane lemmeri
Lithophane lepida lepida
Lithophane oriunda
Lithophane semiusta
Lithophane thaxteri
Lithophane viridipallens
Lithophragma parviflora
Lithospermum latifolium
Litobrancha recurvata
Litocampa fieldingi
Litocampa pucketti
Litocampa sp 1
Litocampa sp. 5
Litocampa sp. TN #6
Litocampa sp. TN #7
Litocampa sp. TN #8
Litopenaeus setiferus
Litsea aestivalis
Littoraria angulifera
Littoraria irrorata
Littorella americana
Littoridinops monroensis
Littoridinops tenuipes
Livoneca redmanii
Livoneca reniformis
Lobelia cardinalis
Lobelia gaudichaudii subsp. koolauensis
Lobelia inflata
Lobelia monostachya
Lobelia niihauensis
Lobelia oahuensis
Lobelia puberula
Lobelia siphilitica
Lobelia spp.
Loberus ornatus (Schaeffer)
Lobosculum pustuloides
Lobotes surinamensis
Loimia medusa
Loimia viridis
Loligo pealeii
Lolliguncula brevis
Lomamyia flavicornis
Lomanotus sp. A
Lomatium bradshawii
Lomatium cookii
Lomatium erythrocarpum
Lomatium foeniculaceum ssp. foeniculaceum
Lomatium greenmanii
Lomatium nuttallii
Lonatura catalina
Lonchopisthus micrognathus
Lonicera hirsuta
Lonicera oblongifolia
Lontra canadensis
Lontra canadensis lataxina
Lontra canadensis mira
Lontra canadensis sonora
Lophiodes bruchius
Lophius americanus
Lophocampa caryae
Lophocampa maculata
Lophocladia kipukaia
Lophocolea cuspidata
Lophodytes cucullatus
Lophoglossus scrutator
Lophomus laxus
Lophopodium sandvicense
Lophosis labeculata
Lophozia alpestris
Lophozia ascendens
Lophozia bicrenata
Lophozia collaris
Lophozia excisa
Lophozia heterocolpos
Lophozia kunzeana
Lophozia laxa
Lophozia longidens susbp. longidens
Lophozia sudetica
Lordithon niger
Lota lota
Lotus helleri
Lovenella gracilis
Lovenia hawaiiensis
Loxagrotis grotei
Loxandrus vitiosus
Loxia curvirostra
Loxia leucoptera
Loxia sp. [undescribed]
Loxigilla noctis
Loxigilla portoricensis
Loxioides bailleui
Loxocrambus awemensis
Loxops caeruleirostris
Loxops coccineus coccineus
Loxops coccineus ochraceus
Loxosomella cricketae
Loxosomella tethyae
Loxostege quaestoralis
Lucania goodei
Lucania parva
Lucanus elephas
Lucanus elephus
Lucifer faxoni
Luciobrotula lineata
Ludwigia alternifolia
Ludwigia leptocarpa
Ludwigia microcarpa
Ludwigia polycarpa
Ludwigia repens
Luidia clathrata
Lumbrineris coccinea
Lupinus cusickii
Lupinus perennis
Lupinus sulphureus ssp. Kincaidii
Luscinia calliope
Luscinia svecica
Lutjanidae
Lutjanus analis
Lutjanus apodus
Lutjanus buccanella
Lutjanus campechanus
Lutjanus cyanopterus
Lutjanus griseus
Lutjanus jocu
Lutjanus mahogoni
Lutjanus synagris
Lutjanus vivanus
Lutrochus laticeps
Luxilus cardinalis
Luxilus chrysocephalus
Luxilus coccogenis
Luxilus cornutus
Luxilus zonistius
Luzula parviflora
Luzula spicata
Lybia edmondsoni
Lycaeides argyrognomon lotis
Lycaeides idas
Lycaeides idas nabokovi
Lycaeides melissa samuelis
Lycaena dione
Lycaena dorcas claytoni
Lycaena epixanthe
Lycaena epixanthe michiganensis
Lycaena helloides
Lycaena hermes
Lycaena hyllus
Lycaena mariposa charlottensis
Lycaena rubida incana
Lycaena xanthoides
Lycia rachelae
Lycia ypsilon
Lycium carolinianum
Lycopodium dendroideum
Lycopodium digitatum
Lycopodium tristachyum
Lycopus asper
Lycopus uniflorus
Lycopus virginicus
Lycosa lenta
Lygodesmia juncea
Lygodium palmatum
Lymnaea atkaensis
Lymnaea producta
Lymnaea rubella
Lynceus brachyurus
Lynceus brevifrons
Lyngbya cladophorae
Lynx canadensis
Lynx rufus
Lynx rufus pallescens
Lyogyrus pupoidea
Lyogyrus walkeri
Lyonia mariana
Lyonsia hyalina
Lysianopsis alba
Lysidice ninetta
Lysilla alba
Lysimachia filifolia
Lysimachia fraseri
Lysimachia hybrida
Lysimachia iniki
Lysimachia lydgatei
Lysimachia maxima
Lysimachia pendens
Lysimachia scopulensis
Lysimachia spp.
Lysimachia terrestris
Lysimachia thyrsiflora
Lysimachia venosa
Lysiosquilla scabricauda
Lysmata wurdemanni
Lytechinus variegatus
Lythrum curtissii
Lythrurus ardens
Lythrurus bellus
Lythrurus fasciolaris
Lythrurus fumeus
Lythrurus lirus
Lythrurus matutinus
Lythrurus snelsoni
Lythrurus umbratilis
Lythrypnus nesiotes
Lythrypnus phorellus
Lythrypnus spilus
Lytrosis permagnaria
Lytrosis sinuosa
Lytta hoppingi
Lytta insperata
Lytta mirifica
Lytta moesta
Lytta molesta
Lytta morrisoni
Mabuya mabouya sloani
Mabuya sloanii
Macaria promiscuata
Macbridea caroliniana
Maccaffertium ithaca
Macdunnoa brunnea
Macdunnoa nipawinia
Macdunnoa persimplex
Machaerina angustifolia
Machaonia woodburyana
Machimus polyphemi
Macoma tenta
Macranthera flammea
Macrhybopsis aestivalis
Macrhybopsis aestivalis aestivalis
Macrhybopsis aestivalis tetranemus
Macrhybopsis australis
Macrhybopsis gelida
Macrhybopsis hyostoma
Macrhybopsis marconis
Macrhybopsis meeki
Macrhybopsis n. sp. cf aestivalis
Macrhybopsis sp. cf. aestivalis
Macrhybopsis storeriana
Macrhybopsis tetranema
Macrobaenetes kelsoensis
Macrobaenetes valgum
Macrobdella sestertia
Macrobrachium acanthurus
Macrobrachium carcinus
Macrobrachium crenulatum
Macrobrachium faustinum
Macrobrachium grandimanus
Macrobrachium heterochirus
Macrobrachium ohione
Macrobrachium olfersii
Macrobrachium sp.
Macrocallista nimbosa
Macrochelys temminckii
Macrochilo (Hormisa) bivittata
Macrochilo (Hormisa) litophora
Macrochilo (Hormisa) louisiana
Macrochilo absorptalis
Macrochilo bivittata
Macrochilo hypocritalis
Macrochilo louisiana
Macrochilo santerivalis
Macrochilo sp 1
Macroclymene zonalis
Macrocotyla glandulosa
Macrocotyla hoffmasteri
Macrocotyla lewisi
Macrocyclops albidus
Macromia alleghaniensis
Macromia illinoiensis
Macromia margarita
Macromia pacifica
Macromia taeniolata
Macromia wabashensis
Macrosteles pottoria
Macrotera lobata
Macrotera parkeri
Macrotera robertsi
Macrotus californicus
Macrozoarces americanus
Madracis decactis
Madracis formosa
Madracis kauaiensis
Madracis mirabilis
Madracis pharensis
Madrepora kauaiensis
Maera caroliniana
Maera williamsi
Magelona papillicornis
Magelona phyllisae
Magelona sp.
Magnipelta mycophaga
Maianthemum canadense var. interius
Makaira nigrican
Malaclemys terrapin
Malaclemys terrapin pileata
Malaclemys terrapin terrapin
Malacocephalus hawaiiensis
Malacoctenus aurolineatus
Malacoctenus macropus
Malacoctenus triangulatus
Malacoraja senta
Malacorhinus acaciae
Malagoniella astyanax yucateca (Harold)
Malaxis brachypoda
Malaxis spicata
Malaxis unifolia
Malenka tina
Mallotus villosus
Malmgreniella lunulata
Malpighia coccigera
Malpighia infestissima
Malpighia linearis
Malus angustifolia
Malus ioensis
Malvastrum hispidum
Mammilaria nivosa
Manayunkia aestuarina
Manayunkia speciosa
Mancocuma altera
Manduca blackburni
Manduca jasminearum
Manduca rustica
Manicina areolata
Manilkara bidentata
Manta birostris
Marchantia alpestris
Marchantia aquatica
Margariscus margarita
Margaritifera falcata
Margaritifera hembeli
Margaritifera margaritifera
Margaritifera marrianae
Margarops fuscatus
Marmota broweri
Marmota caligata sheldoni
Marmota caligata vigilis
Marmota monax
Marmota olympus
Marphysa sanguinea
Marpissa grata
Marshallia caespitosa var. caespitosa
Marshallia caespitosa var. signata
Marshallia mohrii
Marshallia ramose
Marshallia trinervia
Marsilea villosa
Marstonia agarhecta
Marstonia castor
Marstonia decepta
Marstonia ogmorhaphe
Marstonia pachyta
Marstonia scalariformis
Marsupella sphacelata
Martes americana
Martes americana humboldtensis
Martes americana kenaiensis
Martes americana origenes
Martes americana sierrae
Martes caurina caurina
Martes pennanti
Martes pennanti pacifica
Martesia cuneiformis
Masticophis flagellum
Masticophis flagellum flagellum
Masticophis flagellum lineatulus
Masticophis flagellum ruddocki
Masticophis lateralis euryxanthus
Masticophis taeniatus
Matelea alabamensis
Matelea floridana
Matelea pubiflora
Matteuccia struthiopteris
Matteuccia struthiopteris var. pensylvanica
Matus bicarinatus
Matus ovatus
Maytenus cymosa
Meandrina meandrites
Mecardonia acuminata
Mecardonia acuminata var. microphylla
Meda fulgida
Medeola virginiana
Mediomastus ambiseta
Mediomastus californiensis
Medionidus acutissimus
Medionidus conradicus
Medionidus mcglameriae
Medionidus parvulus
Medionidus penicillatus
Medionidus simpsonianus
Medionidus walkeri
Meesia triquetra
Megacephala virginica
Megachile parksi
Megacyclops donnaldsoni
Megaleuctra flinti
Megaleuctra kincaidi
Megaleuctra sierra
Megaleuctra williamsae
Megalobrachium soriatum
Megalomma lobiferum
Megalonaias nervosa
Megalops atlanticus
Megapallifera ragsdalei
Megapallifera wetherbyi
Megaphorus lascrucensis
Megapodius laperouse laperouse
Megaptera novaeangliae
Megascelis texana
Megascops asio
Megascops nudipes
Megascops trichopsis
Megathymus streckeri texanus
Megathymus ursus ursus
Megathymus ursus violae
Megathymus yuccae
Megathymus yuccae coloradensis
Megomphix californicus
Megomphix hemphilli
Meioneta llanoensis (Gertsch and Davis)
Melamprosops phaeosoma
Melampus bidentatus
Melanchra assimilis
Melanerpes aurifrons
Melanerpes carolinus
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes lewis
Melanerpes portoricensis
Melanerpes uropygialis
Melanitta fusca
Melanitta fusca deglandi
Melanitta nigra
Melanitta nigra americana
Melanitta perspicillata
Melanomma auricinctaria
Melanoplus artemesiae
Melanoplus beameri
Melanoplus benni
Melanoplus bruneri
Melanoplus calidus
Melanoplus daemon
Melanoplus dawsoni
Melanoplus digitifer
Melanoplus eurycercus
Melanoplus fasciatus
Melanoplus flavidus
Melanoplus foedus
Melanoplus gladstoni
Melanoplus idaho
Melanoplus impudicus
Melanoplus lemhiensis
Melanoplus magdalenae
Melanoplus pachycercus
Melanoplus packardii
Melanoplus papyraedus
Melanoplus payettei
Melanoplus punctulatus griseus
Melanoplus rusticus
Melanoplus salmonis
Melanoplus scudderi
Melanoplus stonei
Melanoplus trigeminus
Melanoplus viridipes
Melanoplus viridipes viridipes
Melanthera fauriei
Melanthera kamolensis
Melanthera micrantha subsp. exigua
Melanthera micrantha subsp. micrantha
Melanthera tenuifolia
Melanthera venosa
Melanthera waimeaensis
Melanthium woodii
Meleagris gallopavo
Meleagris gallopavo mexicana
Melibe megaceras
Melica mutica
Melica nitens
Melicope adscendens
Melicope anisata
Melicope balloui
Melicope clusiifolia
Melicope cruciata
Melicope degeneri
Melicope haupuensis
Melicope hiiakae
Melicope knudsenii
Melicope lydgatei
Melicope macropus
Melicope makahae
Melicope mucronulata
Melicope munroi
Melicope ovalis
Melicope pallida
Melicope paniculata
Melicope quadrangularis
Melicope reflexa
Melicope saint-johnii
Melicope zahlbruckneri
Melinna maculata
Melissodes intorta
Melita nitida
Melitara prodenialis
Melitta californica
Mellita isometra
Mellita quinquiesperforata
Mellita tenuis
Melospiza georgiana
Melospiza georgiana nigrescens
Melospiza lincolnii
Melospiza melodia
Melospiza melodia amaka
Melospiza melodia maxillaris
Melospiza melodia maxima
Melospiza melodia pusillula
Melospiza melodia samuelis
Membranipora arborescens
Membranipora tenuis
Membras martinica
Memnonia panzeri
Menidia beryllina
Menidia clarkhubbsi
Menidia conchorum
Menidia extensa
Menidia menidia
Menippe mercenaria
Menippe nodifrons
Menticirrhus americanus
Menticirrhus littoralis
Menticirrhus saxatilis
Mentzelia mollis
Mentzelia oligosperma
Mentzelia packardiae
Menyanthes trifoliata
Meoma ventricosa
Mephitis macroura
Mephitis mephitis
Mercenaria campechiensis
Mercenaria mercenaria
Mergus merganser
Merilliodendron megacarpum
Merluccius bilinearis
Mermiria bivittata
Mermiria picta
Merolonche dolli
Merope tuber
Meropleon ambifusca
Meropleon cosmion
Meropleon diversicolor
Meropleon titan
Mertensia lanceolata
Merycomyia whitneyi
Mesamia straminea
Mesamia stramineus
Mesocapnia bergi
Mesocapnia frisoni
Mesochaetopterus taylori
Mesodon altivagus
Mesodon andrewsae
Mesodon clausus
Mesodon elevatus
Mesodon mitchellianus
Mesodon sanus
Mesomphix andrewsae
Mesomphix cupreus
Mesomphix rugeli
Mesomphix subplanus
Mesoplodon densirostris
Mesoplodon europaeus
Mesoplodon stejnegeri
Meta dolloff
Metabetaeus lohena
Metalectra tantillus
Metalepsis salicarum
Metaleptea brevicornis
Metamysidopsis swifti
Metapenaeopsis sp.
Metaphidippus arizonensis
Metapogon hurdi
Metarranthis apiciaria
Metarranthis lateritiaria
Metarranthis pilosaria
Metarranthis sp 1
Metarranthis sp. near duaria
Metastoma roemeri
Metaxaglaea semitaria
Metaxaglaea violacea
Metharpinia floridana
Metopograpsus spp.
Metoporhaphis calcarata
Metretopus borealis
Metriocnemus knabi
Metrosideros polymorpha
Metzgeria conjugata
Metzgeria crassipilis
Metzgeria furcata
Micrarionta facta
Micrarionta feralis
Micrarionta gabbi
Micrarionta opuntia
Micrasterias adscendens
Micrathene whitneyi
Microbisium parvulum
Microbrotula rubra
Microcina edgewoodensis
Microcina homi
Microcina jungi
Microcina leei
Microcina lumi
Microcina tiburona
Microciona prolifera
Microcreagris ozarkensis
Microcreagris valentinei
Microcylloepus browni
Microcylloepus formicoideus
Microcylloepus pusillus
Microdipidops megacephalus albiventer
Microdipidops megacephalus nasutus
Microdipodops megacephalus
Microdipodops pallidus
Microgadus tomcod
Microgobius carri
Microgobius thalassinus
Microhexura montivaga
Microlepia strigosa var. mauiensis
Micromenetus sampsoni
Micromitrium megalosporum
Micromitrium synoicum
Micromitrium tenerum
Micropeuce setosus
Microphis brachyurus
Microphysula ingersolli
Micropogonias undulatus
Microprotopus raneyi
Microprotopus shoemakeri
Micropterus cataractae
Micropterus coosae
Micropterus dolomieu
Micropterus notius
Micropterus punctulatus
Micropterus salmoides
Micropterus salmoides nuecensis
Micropterus treculi
Microseris howellii
Microspathodon chrysurus
Microstylum morosum
Microtus abbreviatus
Microtus abbreviatus abbreviatus
Microtus abbreviatus fisheri
Microtus breweri
Microtus californicus halophilus
Microtus californicus mohavensis
Microtus californicus sanpabloensis
Microtus californicus scirpensis
Microtus californicus stephensi
Microtus californicus vallicola
Microtus canicaudus
Microtus chrotorrhinus
Microtus chrotorrhinus carolinensis
Microtus longicaudus
Microtus longicaudus coronarius
Microtus longicaudus leucophaeus
Microtus longicaudus littoralis
Microtus mexicanus
Microtus mexicanus hualpaiensis
Microtus miurus
Microtus mogollonensis
Microtus montanus arizonensis
Microtus montanus fucosus
Microtus montanus nevadensis
Microtus ochrogaster
Microtus ochrogaster haydenii
Microtus oeconomus
Microtus oeconomus amakensis
Microtus oeconomus elymocetes
Microtus oeconomus innuitus
Microtus oeconomus popofensis
Microtus oeconomus punukensis
Microtus oeconomus sitkensis
Microtus oeconomus unalascensis
Microtus oeconomus yakutatensis
Microtus pennsylvanicus
Microtus pennsylvanicus Provectus
Microtus pennsylvanicus admiraltiae
Microtus pennsylvanicus dukecampbelli
Microtus pennsylvanicus kincaidi
Microtus pennsylvanicus shattucki
Microtus pinetorum
Microtus richardsoni
Microtus townsendii pugeti
Microtus xanthognathus
Microvelia albonotata
Microvelia fontinalis
Micrura leidyi
Micrurus fulvius
Micrurus tener tener
Miesea evelinae
Miktoniscus barri
Miktoniscus racovitzai
Millepora alcicornis
Millepora complanata
Millerelix deltoidea
Millerelix peregrina
Millerelix plicata
Miloderes nelsoni
Mimulus alatus
Mimulus glabratus var. jamesii
Mimulus guttatus
Mimulus moschatus
Mimus polyglottos
Minuartia groenlandica
Minuartia marcescens
Minuartia michauxii var. texana
Minuartia muscorum
Minuartia rubella
Minymischa ventura
Minytrema melanops
Mirabilis exaltata
Mirabilis glabra
Mirabilis macfarlanei
Mirounga angustirostris
Miscodera arctica
Mithrax spinosissimus
Mithrodia fisheri
Mitoura grynea barryi
Mitoura johnsoni
Mitoura thornei
Mitreola petiolata
Mixogaster johnsoni
Mnemiopsis leidyi
Mnemiopsis mccradyi
Mniotilta varia
Mnium ambiguum
Mnium hornum
Mnium thomsonii
Moapa coriacea
Modiolus americanus
Moehringia lateriflora
Moehringia macrophylla
Moho bishopi
Moho braccatus
Moira atropos
Molgula manhattensis
Molgula occidentalis
Molossus molossus
Molothrus ater
Monacanthus tuckeri
Monachus schauinslandi
Monadenia callipeplus
Monadenia chaceana
Monadenia churchi
Monadenia circumcarinata
Monadenia cristulata
Monadenia fidelis beryllica
Monadenia fidelis celeuthia
Monadenia fidelis leonina
Monadenia fidelis minor
Monadenia fidelis pronotis
Monadenia infumata ochromphalus
Monadenia marmarotis
Monadenia mormonum buttoni
Monadenia mormonum hirsuta
Monadenia setosa
Monadenia troglodytes
Monadenia tuolumneana
Monadenia yosemitensis
Monarcha tatatsukasae
Monarda clinopodia
Monarda punctata
Monarda punctata var. arkansana
Monarda punctata var. occidentalis
Monarda punctata var. villicaulis
Monocorophium acherusicum
Monocorophium tuberculatum
Monoleuca semifascia
Monophyllus redmani
Monopylephorus rubroniveus
Monotropa hypopithys
Monotropa uniflora
Monotropsis odorata
Montacutidae sp. A
Montastraea annularis
Montastraea cavernosa
Montecellina sp.
Montipora capitata
Montipora dilatata
Montipora flabellata
Montipora patula
Montipora studeri
Montipora tuberculosa
Montipora turgescens
Montipora verrilli
Mooreonuphis nebulosa
Mormoops blainvillii
Mormoops megalophylla
Morone mississippiensis
Morone saxatilis
Morrisonia mucens
Morus bassanus
Morus rubra
Motacilla alba
Motacilla lugens
